ID;Name;Longitude_WGS84;Latitude_WGS84;NameOfStation;Line;ModeOnEvenDays;ModeOnOddDays;FullFeaturedBPAAmount;LittleFunctionalBPAAmount;BPAAmount;RepairOfEscalators;global_id;geoData
905;Котельники, вход-выход 7 в 1-й вестибюль;37.858087;55.676840;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:06";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:06";0;5;5;04.08.2020-30.12.2020;25168171;{type=Point, coordinates=[37.858087, 55.67684]}
906;Котельники, вход-выход 2 во 2-й вестибюль;37.8587337;55.6737847;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:01";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:01";1;4;5;;25168277;{type=Point, coordinates=[37.8587337, 55.6737847]}
907;Котельники, вход-выход 1 во 2-й вестибюль;37.8592766;55.6735212;Котельники;Таганско-Краснопресненская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:56:45, по 2 пути в 06:01:00; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:03";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:53:30, по 2 пути в 05:40:30; последний поезд по 1 пути в 02:02:30, по 2 пути в 01:03:03";1;4;5;;25168320;{type=Point, coordinates=[37.8592766, 55.6735212]}
913;Бульвар Дмитрия Донского, вход-выход 5 в южный вестибюль;37.574941;55.568405;Бульвар Дмитрия Донского;Серпуховско-Тимирязевская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:43:00; последний поезд по 1 пути в 01:03:00";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:02:45; последний поезд по 1 пути в 01:03:00";4;2;6;;59714991;{type=Point, coordinates=[37.574941, 55.568405]}
914;Чертановская, вход-выход 8 в северный вестибюль;37.605908;55.640318;Чертановская;Серпуховско-Тимирязевская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:35, по 2 пути в 06:08:55; последний поезд по 1 пути в 01:15:05, по 2 пути в 01:49:25";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:31:35, по 2 пути в 06:08:55; последний поезд по 1 пути в 01:15:05, по 2 пути в 01:49:25";2;2;4;;59714994;{type=Point, coordinates=[37.605908, 55.640318]}
915;Нагорная, вход-выход 3 в вестибюль;37.610909;55.672928;Нагорная;Серпуховско-Тимирязевская линия;"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";"открытие в 05:35:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:37:00, по 2 пути в 06:02:00; последний поезд по 1 пути в 01:20:00, по 2 пути в 01:43:00";1;3;4;;59714996;{type=Point, coordinates=[37.610909, 55.672928]}
916;Тимирязевская, вход-выход 7 в вестибюль;37.5762248;55.8193496;Тимирязевская;Серпуховско-Тимирязевская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:40, по 2 пути в 05:34:45; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:00";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:55, по 2 пути в 05:34:45; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:00";1;8;9;;59714998;{type=Point, coordinates=[37.5762248, 55.8193496]}
918;Тимирязевская, вход-выход 5 в вестибюль;37.576113;55.818872;Тимирязевская;Серпуховско-Тимирязевская линия;"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:40, по 2 пути в 05:34:45; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:00";"открытие в 05:25:00; закрытие в 01:00:00; первый поезд по 1 пути в 06:04:55, по 2 пути в 05:34:45; последний поезд по 1 пути в 01:46:20, по 2 пути в 01:17:00";1;8;9;;59715002;{type=Point, coordinates=[37.576113, 55.818872]}
919;Марьина Роща, вход-выход 2 в 1-й вестибюль;37.617087;55.793866;Марьина роща;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:40:00; по 2 пути в 05:53:00; последний поезд по 1 пути в 01:18:00, по 2 пути в 01:47:03";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:41:00; по 2 пути в 05:53:00; последний поезд по 1 пути в 01:18:00, по 2 пути в 01:47:03";2;0;2;;59715004;{type=Point, coordinates=[37.617087, 55.793866]}
920;Дубровка, вход-выход 2 в вестибюль;37.677219;55.717731;Дубровка;Люблинско-Дмитровская линия;"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:54:15, по 2 пути в 05:39:30; последний поезд по 1 пути в 01:22:25, по 2 пути в 01:28:30";"открытие в 05:30:00; закрытие в 01:00:00; первый поезд по 1 пути в 05:51:35, по 2 пути в 05:38:10; последний поезд по 1 пути в 01:22:25, по 2 пути в 01:28:30";1;5;6;;59715007;{type=Point, coordinates=[37.677219, 55.717731]}
